street,city,zip,state,beds,baths,sq_m,type,sale_date,price,latitude,longitude
1316 I ST,Rio Linda,95673,CA,3,1,107.77,Residential,2008-05-19,249862,38.683673999999996,-121.435204
2130 CATHERWOOD WAY,Sacramento,95835,CA,3,2,132.29,Residential,2008-05-19,251000,38.675506,-121.51098700000001
8304 JUGLANS DR,Orangevale,95662,CA,4,2,146.23,Residential,2008-05-19,252155,38.691829,-121.24903300000001
5308 MARBURY WAY,Antelope,95843,CA,3,2,170.01,Residential,2008-05-19,254172,38.710221000000004,-121.341707
9182 LAKEMONT DR,Elk Grove,95624,CA,4,2,160.16,Residential,2008-05-19,258000,38.451353000000005,-121.358776
2231 COUNTRY VILLA CT,Auburn,95603,CA,2,2,116.59,Condo,2008-05-19,260000,38.931671,-121.097862
8491 CRYSTAL WALK CIR,Elk Grove,95758,CA,0,0,0.0,Residential,2008-05-19,261000,38.416916,-121.407554
361 MAHONIA CIR,Sacramento,95835,CA,4,3,202.06,Residential,2008-05-19,261000,38.676171999999994,-121.50976100000001
3427 LA CADENA WAY,Sacramento,95835,CA,4,2,176.89,Residential,2008-05-19,261000,38.681194,-121.537351
955 BIG SUR CT,El Dorado Hills,95762,CA,4,2,167.97,Residential,2008-05-19,262500,38.664347,-121.07652900000001
11826 DIONYSUS WAY,Rancho Cordova,95742,CA,4,2,251.86,Residential,2008-05-19,266000,38.551046,-121.239411
5847 DEL CAMPO LN,Carmichael,95608,CA,3,1,159.14,Residential,2008-05-19,266000,38.671995,-121.324339
5635 FOXVIEW WAY,Elk Grove,95757,CA,3,2,135.36,Residential,2008-05-19,270000,38.395255999999996,-121.438249
10372 VIA CINTA CT,Elk Grove,95757,CA,4,3,253.07,Residential,2008-05-19,274425,38.380089,-121.42818600000001
6286 LONETREE BLVD,Rocklin,95765,CA,0,0,0.0,Residential,2008-05-19,274500,38.805036,-121.293608
7744 SOUTHBREEZE DR,Sacramento,95828,CA,3,2,136.38,Residential,2008-05-19,275336,38.476932,-121.378349
2242 ABLE WAY,Sacramento,95835,CA,4,3,236.9,Residential,2008-05-19,277980,38.666074,-121.509743
1042 STARBROOK DR,Galt,95632,CA,4,2,179.12,Residential,2008-05-19,280000,38.285610999999996,-121.29306299999999
1219 G ST,Sacramento,95814,CA,3,3,178.56,Residential,2008-05-19,284686,38.582817999999996,-121.48909599999999
6220 OPUS CT,Citrus Heights,95621,CA,3,2,124.77,Residential,2008-05-19,284893,38.715853,-121.317095
5419 HAVENHURST CIR,Rocklin,95677,CA,3,2,140.28,Residential,2008-05-19,285000,38.786746,-121.209957
220 OLD AIRPORT RD,Auburn,95603,CA,2,2,89.19,Multi-Family,2008-05-19,285000,38.939802,-121.054575
4622 MEYER WAY,Carmichael,95608,CA,4,2,144.83,Residential,2008-05-19,285000,38.64913,-121.310667
4885 SUMMIT VIEW DR,El Dorado,95623,CA,3,2,150.87,Residential,2008-05-19,289000,38.673285,-120.879176
26 JEANROSS CT,Sacramento,95832,CA,5,3,277.96,Residential,2008-05-19,295000,38.473162,-121.49108500000001
4800 MAPLEPLAIN AVE,Elk Grove,95758,CA,4,2,195.93,Residential,2008-05-19,296000,38.432848,-121.44923700000001
10629 BASIE WAY,Rancho Cordova,95670,CA,4,2,141.58,Residential,2008-05-19,296056,38.579,-121.292627
8612 WILLOW GROVE WAY,Sacramento,95828,CA,3,2,115.94,Residential,2008-05-19,297359,38.464994,-121.38696200000001
62 DE FER CIR,Sacramento,95823,CA,4,2,174.28,Residential,2008-05-19,299940,38.492540000000005,-121.46331599999999
2513 OLD KENMARE RD,Lincoln,95648,CA,5,3,0.0,Residential,2008-05-19,304000,38.847396,-121.25958600000001
3253 ABOTO WAY,Rancho Cordova,95670,CA,4,3,171.96,Residential,2008-05-19,305000,38.57727,-121.285591
3072 VILLAGE PLAZA DR,Roseville,95747,CA,0,0,0.0,Residential,2008-05-19,307000,38.773094,-121.365905
251 CHANGO CIR,Sacramento,95835,CA,4,2,206.06,Residential,2008-05-19,311328,38.68237,-121.539147
8205 WEYBURN CT,Sacramento,95828,CA,3,2,129.51,Residential,2008-05-19,313138,38.47316,-121.403893
8788 LA MARGARITA WAY,Sacramento,95828,CA,3,2,130.99,Residential,2008-05-19,316630,38.468185,-121.375694
5912 DEEPDALE WAY,Elk Grove,95758,CA,5,3,322.19,Residential,2008-05-19,320000,38.439565,-121.43660600000001
4712 PISMO BEACH DR,Antelope,95843,CA,5,3,217.95,Residential,2008-05-19,320000,38.707705,-121.354153
4741 PACIFIC PARK DR,Antelope,95843,CA,5,3,218.04,Residential,2008-05-19,325000,38.709299,-121.35305600000001
310 GROTH CIR,Sacramento,95834,CA,4,2,154.12,Residential,2008-05-19,328578,38.638764,-121.531827
6121 WILD FOX CT,Elk Grove,95757,CA,3,3,226.87,Residential,2008-05-19,331000,38.406758,-121.431669
12241 CANYONLANDS DR,Rancho Cordova,95742,CA,0,0,0.0,Residential,2008-05-19,331500,38.557293,-121.217611
29 COOL FOUNTAIN CT,Sacramento,95833,CA,4,2,200.2,Residential,2008-05-19,340000,38.606906,-121.54132
907 RIO ROBLES AVE,Sacramento,95838,CA,0,0,0.0,Residential,2008-05-19,344755,38.664765,-121.445006
8909 BILLFISH WAY,Sacramento,95828,CA,3,2,168.15,Residential,2008-05-19,345746,38.475433,-121.372584
6232 GUS WAY,Elk Grove,95757,CA,4,2,259.1,Residential,2008-05-19,351000,38.388129,-121.43117
200 OAKWILDE ST,Galt,95632,CA,4,2,149.2,Residential,2008-05-19,353767,38.2535,-121.31812
1033 PARK STREAM DR,Galt,95632,CA,0,0,0.0,Residential,2008-05-19,355000,38.287785,-121.28990300000001
200 ALLAIRE CIR,Sacramento,95835,CA,4,2,201.23,Residential,2008-05-19,356035,38.68318,-121.53483999999999
1322 SUTTER WALK,Sacramento,95816,CA,0,0,0.0,Condo,2008-05-19,360000,38.53805,-121.5047
5479 NICKMAN WAY,Sacramento,95835,CA,4,2,173.82,Residential,2008-05-19,360552,38.672965999999995,-121.502748
2103 BURBERRY WAY,Sacramento,95835,CA,3,2,167.22,Residential,2008-05-19,362305,38.67342,-121.50854199999999
2450 SAN JOSE WAY,Sacramento,95817,CA,3,1,156.35,Residential,2008-05-19,365000,38.553596,-121.459483
7641 ROSEHALL DR,Roseville,95678,CA,3,2,0.0,Residential,2008-05-19,367554,38.791616999999995,-121.286147
1336 LAYSAN TEAL DR,Roseville,95747,CA,0,0,0.0,Residential,2008-05-19,368500,38.796121,-121.31996299999999
2802 BLACK OAK DR,Rocklin,95765,CA,2,2,148.27,Residential,2008-05-19,370000,38.837006,-121.232024
2113 FALL TRAIL CT,Placerville,95667,CA,4,2,0.0,Residential,2008-05-19,371086,38.733155,-120.74803899999999
10112 LAMBEAU CT,Elk Grove,95757,CA,3,2,109.53,Residential,2008-05-19,378000,38.390328000000004,-121.448022
6313 CASTRO VERDE WAY,Elk Grove,95757,CA,0,0,0.0,Residential,2008-05-19,383000,38.381102,-121.42901
3622 CURTIS DR,Sacramento,95818,CA,3,1,152.27,Residential,2008-05-19,388000,38.541734999999996,-121.480098
11817 OPAL RIDGE WAY,Rancho Cordova,95742,CA,5,3,304.81,Residential,2008-05-19,395100,38.551083,-121.237476
170 LAGOMARSINO WAY,Sacramento,95819,CA,3,2,157.66,Residential,2008-05-19,400000,38.574894,-121.435806
2743 DEAKIN PL,El Dorado Hills,95762,CA,3,2,0.0,Residential,2008-05-19,400000,38.69288,-121.073551
3361 ALDER CANYON WAY,Antelope,95843,CA,4,3,193.7,Residential,2008-05-19,408431,38.727649,-121.38565600000001
2148 RANCH VIEW DR,Rocklin,95765,CA,0,0,0.0,Residential,2008-05-19,413000,38.837455,-121.28933700000002
398 LINDLEY DR,Sacramento,95815,CA,4,2,162.02,Multi-Family,2008-05-19,416767,38.622359,-121.457582
3013 BRIDLEWOOD DR,El Dorado Hills,95762,CA,4,3,0.0,Residential,2008-05-19,420000,38.675519,-121.01586200000001
169 BAURER CIR,Folsom,95630,CA,4,3,180.14,Residential,2008-05-19,423000,38.66695,-121.120729
2809 LOON CT,Cameron Park,95682,CA,4,2,0.0,Residential,2008-05-19,423000,38.687072,-121.004729
1315 KONDOS AVE,Sacramento,95814,CA,2,3,166.11,Residential,2008-05-19,427500,38.571943,-121.492106
4966 CHARTER RD,Rocklin,95765,CA,3,2,157.1,Residential,2008-05-19,430922,38.82553,-121.254698
9516 LAGUNA LAKE WAY,Elk Grove,95758,CA,4,2,185.99,Residential,2008-05-19,445000,38.411258000000004,-121.431348
5201 BLOSSOM RANCH DR,Elk Grove,95757,CA,4,4,399.76,Residential,2008-05-19,450000,38.399436,-121.444041
3027 PALMATE WAY,Sacramento,95834,CA,5,3,394.46,Residential,2008-05-19,452000,38.628955,-121.529269
500 WINCHESTER CT,Roseville,95661,CA,3,2,211.26,Residential,2008-05-19,470000,38.73988,-121.248929
5746 GELSTON WAY,El Dorado Hills,95762,CA,4,3,0.0,Residential,2008-05-19,471000,38.677015000000004,-121.03408300000001
6935 ELM TREE LN,Orangevale,95662,CA,4,4,283.91,Residential,2008-05-19,475000,38.693041,-121.23293999999999
9605 GOLF COURSE LN,Elk Grove,95758,CA,3,3,232.53,Residential,2008-05-19,484500,38.409689,-121.446059
719 BAYWOOD CT,El Dorado Hills,95762,CA,5,3,0.0,Residential,2008-05-19,487500,38.647597999999995,-121.07780100000001
5954 TANUS CIR,Rocklin,95677,CA,3,3,0.0,Residential,2008-05-19,488750,38.777584999999995,-121.2036
100 CHELSEA CT,Folsom,95630,CA,3,2,176.98,Residential,2008-05-19,500000,38.69435,-121.177259
1500 ORANGE HILL LN,Penryn,95663,CA,3,2,122.63,Residential,2008-05-19,506688,38.862708000000005,-121.16209199999999
408 KIRKWOOD CT,Lincoln,95648,CA,2,2,0.0,Residential,2008-05-19,512000,38.861615,-121.26868999999999
1732 TUSCAN GROVE CIR,Roseville,95747,CA,5,3,0.0,Residential,2008-05-19,520000,38.796683,-121.342555
2049 EMPIRE MINE CIR,Gold River,95670,CA,4,2,282.14,Residential,2008-05-19,528000,38.629298999999996,-121.249021
9360 MAGOS RD,Wilton,95693,CA,5,2,347.55,Residential,2008-05-19,579093,38.416809,-121.240628
104 CATLIN CT,Folsom,95630,CA,4,3,247.12,Residential,2008-05-19,636000,38.684459000000004,-121.14593500000001
4734 GIBBONS DR,Carmichael,95608,CA,4,3,311.87,Residential,2008-05-19,668365,38.63558,-121.35363899999999
4629 DORCHESTER LN,Granite Bay,95746,CA,5,3,269.04,Residential,2008-05-19,676200,38.723545,-121.216025
2400 COUNTRYSIDE DR,Placerville,95667,CA,3,2,188.13,Residential,2008-05-19,677048,38.737452000000005,-120.910963
12901 FURLONG DR,Wilton,95693,CA,5,3,351.91,Residential,2008-05-19,691659,38.413534999999996,-121.18821100000001
6222 CALLE MONTALVO CIR,Granite Bay,95746,CA,5,3,340.95,Residential,2008-05-19,760000,38.779435,-121.146676
20 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885327000000004,-121.28941200000001
24 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885132,-121.289405
28 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884935999999996,-121.289397
32 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884741,-121.28939
36 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884599,-121.289406
40 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884535,-121.28961899999999
44 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.88459,-121.28983500000001
48 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884667,-121.289896
52 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.88478,-121.289911
68 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885236,-121.289928
72 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.88535,-121.289926
76 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885464,-121.289922
80 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885578,-121.289919
84 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885692,-121.289915
88 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885806,-121.289911
92 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.88592,-121.28990800000001
96 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.886024,-121.289859
100 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.886091,-121.289744
434 1ST ST,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.88653,-121.289406
3 E ST,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884692,-121.29028799999999
11 E ST,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884879,-121.29025700000001
19 E ST,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885017,-121.29026200000001
27 E ST,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885172999999995,-121.29026999999999
35 E ST,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885328,-121.290275
43 E ST,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885483,-121.290277
51 E ST,Lincoln,95648,CA,4,2,0.0,Residential,2008-05-19,4897,38.885638,-121.290279
59 E ST,Lincoln,95648,CA,3,2,0.0,Residential,2008-05-19,4897,38.885794,-121.29028100000001
75 E ST,Lincoln,95648,CA,3,2,0.0,Residential,2008-05-19,4897,38.886103999999996,-121.29028500000001
63 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885093,-121.28993200000001
398 1ST ST,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.88653,-121.288952
386 1ST ST,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.886528000000006,-121.28886899999999
374 1ST ST,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.886525,-121.28878700000001
116 CRYSTALWOOD WAY,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.886282,-121.28958600000001
108 CRYSTALWOOD WAY,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.886282,-121.28964599999999
100 CRYSTALWOOD WAY,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.886282,-121.28970600000001
55 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884865000000005,-121.289922
51 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884752,-121.289907
47 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884638,-121.28989299999999
43 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884568,-121.28978400000001
39 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884546,-121.28956200000002
35 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884645,-121.289397
31 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.88479,-121.28939199999999
27 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.884985,-121.289399
23 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885181,-121.289406
19 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885376,-121.289414
15 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885571,-121.28942099999999
7 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885962,-121.28943600000001
7 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.885962,-121.28943600000001
3 CRYSTALWOOD CIR,Lincoln,95648,CA,0,0,0.0,Residential,2008-05-19,4897,38.886093,-121.289584
8208 WOODYARD WAY,Citrus Heights,95621,CA,3,2,108.32,Residential,2008-05-16,30000,38.715322,-121.31478700000001
113 RINETTI WAY,Rio Linda,95673,CA,0,0,0.0,Residential,2008-05-16,30000,38.687172,-121.46393300000001
15 LOORZ CT,Sacramento,95823,CA,2,1,77.85,Residential,2008-05-16,55422,38.471646,-121.435158
5805 DOTMAR WAY,North Highlands,95660,CA,2,1,83.98,Residential,2008-05-16,63000,38.672641999999996,-121.380343
2332 CAMBRIDGE ST,Sacramento,95815,CA,2,1,95.88,Residential,2008-05-16,65000,38.608084999999996,-121.449651
3812 BELDEN ST,Sacramento,95838,CA,2,1,83.98,Residential,2008-05-16,65000,38.636833,-121.44163999999999
3348 40TH ST,Sacramento,95817,CA,2,1,100.33,Residential,2008-05-16,65000,38.544162,-121.460652
127 QUASAR CIR,Sacramento,95822,CA,2,2,91.97,Residential,2008-05-16,66500,38.493503999999994,-121.47530400000001
3812 CYPRESS ST,Sacramento,95838,CA,2,1,83.61,Residential,2008-05-16,71000,38.636877,-121.444948
5821 64TH ST,Sacramento,95824,CA,2,1,79.99,Residential,2008-05-16,75000,38.521202,-121.428146
8248 CENTER PKWY,Sacramento,95823,CA,2,1,84.17,Condo,2008-05-16,77000,38.459002000000005,-121.428794
1171 SONOMA AVE,Sacramento,95815,CA,2,1,93.92,Residential,2008-05-16,85000,38.6238,-121.439872
4250 ARDWELL WAY,Sacramento,95823,CA,3,2,101.17,Residential,2008-05-16,95625,38.466938,-121.45563100000001
3104 CLAY ST,Sacramento,95815,CA,2,1,77.29,Residential,2008-05-16,96140,38.623909999999995,-121.43920800000001
6063 LAND PARK DR,Sacramento,95822,CA,2,1,74.32,Condo,2008-05-16,104250,38.517029,-121.51380900000001
4738 OAKHOLLOW DR,Sacramento,95842,CA,4,2,120.03,Residential,2008-05-16,105000,38.679598,-121.356035
1401 STERLING ST,Sacramento,95822,CA,2,1,75.25,Residential,2008-05-16,108000,38.520319,-121.504727
3715 DIDCOT CIR,Sacramento,95838,CA,4,2,98.85,Residential,2008-05-16,109000,38.635232,-121.460098
2426 RASHAWN DR,Rancho Cordova,95670,CA,2,1,84.63,Residential,2008-05-16,115000,38.610852,-121.273278
4800 WESTLAKE PKWY Unit 410,Sacramento,95835,CA,1,1,78.6,Condo,2008-05-16,115000,38.658812,-121.542345
3409 VIRGO ST,Sacramento,95827,CA,3,2,122.63,Residential,2008-05-16,115500,38.563402,-121.327747
1110 PINEDALE AVE,Sacramento,95838,CA,3,2,130.99,Residential,2008-05-16,115620,38.660173,-121.44021599999999
2361 LA LOMA DR,Rancho Cordova,95670,CA,3,2,103.59,Residential,2008-05-16,116000,38.59368,-121.31605400000001
1455 64TH AVE,Sacramento,95822,CA,3,2,108.6,Residential,2008-05-16,122000,38.492177000000005,-121.50339199999999
7328 SPRINGMAN ST,Sacramento,95822,CA,3,2,108.14,Residential,2008-05-16,122500,38.491991,-121.477636
119 SAINT MARIE CIR,Sacramento,95823,CA,4,2,124.58,Residential,2008-05-16,123000,38.481454,-121.44664399999999
12 COSTA BRASE CT,Sacramento,95838,CA,3,2,113.25,Residential,2008-05-16,124000,38.655553999999995,-121.464275
6813 SCOTER WAY,Sacramento,95842,CA,4,2,104.7,Residential,2008-05-16,124000,38.69043,-121.36103500000002
6548 GRAYLOCK LN,North Highlands,95660,CA,3,2,118.17,Residential,2008-05-16,124413,38.686060999999995,-121.369949
1630 GLIDDEN AVE,Sacramento,95822,CA,4,2,116.41,Residential,2008-05-16,125000,38.482717,-121.499683
7825 DALEWOODS WAY,Sacramento,95828,CA,3,2,104.05,Residential,2008-05-16,130000,38.477297,-121.41151299999999
4073 TRESLER AVE,North Highlands,95660,CA,2,2,103.86,Residential,2008-05-16,131750,38.659015999999994,-121.370457
4288 DYMIC WAY,Sacramento,95838,CA,4,3,175.59,Residential,2008-05-16,137721,38.646541,-121.44113899999999
1158 SAN IGNACIO WAY,Sacramento,95833,CA,3,2,117.06,Residential,2008-05-16,137760,38.623045,-121.48627900000001
4904 J PKWY,Sacramento,95823,CA,3,2,130.06,Residential,2008-05-16,138000,38.487297,-121.44295
2931 HOWE AVE,Sacramento,95821,CA,3,1,117.43,Residential,2008-05-16,140000,38.619012,-121.415329
5531 JANSEN DR,Sacramento,95824,CA,3,1,98.48,Residential,2008-05-16,145000,38.522015,-121.43871299999999
7836 ORCHARD WOODS CIR,Sacramento,95828,CA,2,2,105.17,Residential,2008-05-16,145000,38.47955,-121.410867
4055 DEERBROOK DR,Sacramento,95823,CA,3,2,136.19,Residential,2008-05-16,150000,38.472117,-121.459589
9937 BURLINE ST,Sacramento,95827,CA,3,2,101.45,Residential,2008-05-16,150000,38.559641,-121.32316000000002
6948 MIRADOR WAY,Sacramento,95828,CA,4,2,151.24,Residential,2008-05-16,151000,38.493484,-121.42035
4909 RUGER CT,Sacramento,95842,CA,3,2,89.19,Residential,2008-05-16,155000,38.687470000000005,-121.34923400000001
7204 KERSTEN ST,Citrus Heights,95621,CA,3,2,99.87,Residential,2008-05-16,155800,38.695863,-121.30081399999999
3150 ROSEMONT DR,Sacramento,95826,CA,3,2,132.66,Residential,2008-05-16,156142,38.554927,-121.35521000000001
8200 STEINBECK WAY,Sacramento,95828,CA,4,2,126.16,Residential,2008-05-16,158000,38.474854,-121.404726
8198 STEVENSON AVE,Sacramento,95828,CA,6,4,229.93,Multi-Family,2008-05-16,159900,38.465271,-121.40426000000001
6824 OLIVE TREE WAY,Citrus Heights,95610,CA,3,2,130.99,Residential,2008-05-16,160000,38.689239,-121.26773700000001
3536 SUN MAIDEN WAY,Antelope,95843,CA,3,2,158.96,Residential,2008-05-16,161500,38.70968,-121.382328
4517 OLYMPIAD WAY,Sacramento,95826,CA,4,2,137.77,Residential,2008-05-16,161600,38.536751,-121.359154
925 COBDEN CT,Galt,95632,CA,3,2,105.91,Residential,2008-05-16,162000,38.282047,-121.29581200000001
8225 SCOTTSDALE DR,Sacramento,95828,CA,4,2,143.91,Residential,2008-05-16,165000,38.487864,-121.40247600000001
8758 LEMAS RD,Sacramento,95828,CA,3,2,130.99,Residential,2008-05-16,165000,38.467487,-121.377055
6121 ALPINESPRING WAY,Elk Grove,95758,CA,3,2,115.2,Residential,2008-05-16,167293,38.434075,-121.43262299999999
5937 YORK GLEN WAY,Sacramento,95842,CA,5,2,159.05,Residential,2008-05-16,168000,38.677003000000006,-121.354454
6417 SUNNYFIELD WAY,Sacramento,95823,CA,4,2,146.79,Residential,2008-05-16,168000,38.449153,-121.42827199999999
4008 GREY LIVERY WAY,Antelope,95843,CA,3,2,155.05,Residential,2008-05-16,168750,38.71846,-121.37086200000002
8920 ROSETTA CIR,Sacramento,95826,CA,3,1,95.6,Residential,2008-05-16,168750,38.544374,-121.370874
8300 LICHEN DR,Citrus Heights,95621,CA,3,1,102.47,Residential,2008-05-16,170000,38.716409999999996,-121.30623899999999
8884 AMBERJACK WAY,Sacramento,95828,CA,3,2,200.76,Residential,2008-05-16,170250,38.479343,-121.372553
4480 VALLEY HI DR,Sacramento,95823,CA,3,2,153.29,Residential,2008-05-16,173000,38.466781,-121.45095500000001
2250 FOREBAY RD,Pollock Pines,95726,CA,3,1,122.63,Residential,2008-05-16,175000,38.77491,-120.597599
3529 FABERGE WAY,Sacramento,95826,CA,3,2,111.48,Residential,2008-05-16,176095,38.553275,-121.346218
1792 DAWNELLE WAY,Sacramento,95835,CA,3,2,108.7,Residential,2008-05-16,176250,38.68271,-121.501697
7800 TABARE CT,Citrus Heights,95621,CA,3,2,111.39,Residential,2008-05-16,178000,38.70799,-121.30297900000001
8531 HERMITAGE WAY,Sacramento,95823,CA,4,2,157.47,Residential,2008-05-16,179000,38.448452,-121.42853600000001
2421 BERRYWOOD DR,Rancho Cordova,95670,CA,3,2,107.49,Residential,2008-05-16,180000,38.60868,-121.27848999999999
1005 MORENO WAY,Sacramento,95838,CA,3,2,130.99,Residential,2008-05-16,180000,38.646206,-121.44276699999999
1675 VERNON ST Unit 24,Roseville,95678,CA,3,2,109.07,Residential,2008-05-16,180000,38.734136,-121.29963899999998
24 WINDCHIME CT,Sacramento,95823,CA,3,2,147.99,Residential,2008-05-16,181000,38.44617,-121.427824
540 HARLING CT,Rio Linda,95673,CA,3,2,101.54,Residential,2008-05-16,182000,38.682790000000004,-121.45350900000001
1207 CRESCENDO DR,Roseville,95678,CA,3,2,164.44,Residential,2008-05-16,182587,38.72446,-121.292829
7577 EDDYLEE WAY,Sacramento,95822,CA,4,2,133.41,Residential,2008-05-16,185074,38.48291,-121.49150900000001
8369 FOPPIANO WAY,Sacramento,95829,CA,3,2,104.42,Residential,2008-05-16,185833,38.453839,-121.357919
8817 SAWTELLE WAY,Sacramento,95826,CA,4,2,105.82,Residential,2008-05-16,186785,38.565321999999995,-121.374251
1910 BONAVISTA WAY,Sacramento,95832,CA,3,2,152.17,Residential,2008-05-16,187000,38.476048,-121.494961
8 TIDE CT,Sacramento,95833,CA,3,2,123.37,Residential,2008-05-16,188335,38.609864,-121.492304
8952 ROCKY CREEK CT,Elk Grove,95758,CA,3,2,118.26,Residential,2008-05-16,190000,38.431239,-121.44001000000002
435 EXCHANGE ST,Sacramento,95838,CA,3,1,100.52,Residential,2008-05-16,190000,38.659434000000005,-121.45523600000001
10105 MONTE VALLO CT,Sacramento,95827,CA,4,2,146.6,Residential,2008-05-16,190000,38.573917,-121.31691599999999
3930 ANNABELLE AVE,Roseville,95661,CA,2,1,73.95,Residential,2008-05-16,190000,38.727609,-121.22649399999999
4854 TANGERINE AVE,Sacramento,95823,CA,3,2,128.76,Residential,2008-05-16,191250,38.478239,-121.446326
2909 SHAWN WAY,Rancho Cordova,95670,CA,3,2,134.89,Residential,2008-05-16,193000,38.589925,-121.29905900000001
4290 BLACKFORD WAY,Sacramento,95823,CA,3,2,140.56,Residential,2008-05-16,193500,38.470494,-121.45416200000001
5890 TT TRAK,Foresthill,95631,CA,0,0,0.0,Residential,2008-05-16,194818,39.020808,-120.821518
7015 WOODSIDE DR,Sacramento,95842,CA,4,2,146.6,Residential,2008-05-16,195000,38.693071,-121.332365
6019 CHESHIRE WAY,Citrus Heights,95610,CA,4,3,161.28,Residential,2008-05-16,195000,38.676437,-121.27916499999999
3330 VILLAGE CT,Cameron Park,95682,CA,2,2,0.0,Residential,2008-05-16,195000,38.690504,-120.996245
2561 VERNA WAY,Sacramento,95821,CA,3,1,136.85,Residential,2008-05-16,195000,38.611055,-121.369964
3522 22ND AVE,Sacramento,95820,CA,3,1,106.84,Residential,2008-05-16,198000,38.532725,-121.469078
2880 CANDIDO DR,Sacramento,95833,CA,3,2,104.7,Residential,2008-05-16,199900,38.618019,-121.51021499999999
6908 PIN OAK CT,Fair Oaks,95628,CA,3,1,106.28,Residential,2008-05-16,200000,38.66424,-121.303675
5733 ANGELINA AVE,Carmichael,95608,CA,3,1,90.3,Residential,2008-05-16,201000,38.622634000000005,-121.330846
